"Date","October-04-2023"
"Time","01h02m59s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",215
"Record Rate",1
"Record Time [s]",6.449997e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-6.752449e-01,-3.487584e-01,6.499323e-01,-7.634201e+01,2.026825e+01,1.623776e-01,1.182183e+02,5.185346e+01,-2.533277e+01,2.929028e-06,
2.999998e-02,-6.750531e-01,-3.478238e-01,6.506319e-01,-7.637002e+01,2.029463e+01,1.624734e-01,1.181287e+02,5.181936e+01,-2.533430e+01,2.927989e-06,
5.999997e-02,-6.754151e-01,-3.476609e-01,6.503433e-01,-7.638173e+01,2.028374e+01,1.622925e-01,1.181281e+02,5.184695e+01,-2.533043e+01,2.930606e-06,
8.999995e-02,-6.750101e-01,-3.490178e-01,6.500368e-01,-7.632926e+01,2.027219e+01,1.624949e-01,1.182322e+02,5.184465e+01,-2.533047e+01,2.930579e-06,
1.199999e-01,-6.751924e-01,-3.480341e-01,6.503749e-01,-7.636537e+01,2.028494e+01,1.624038e-01,1.181525e+02,5.184898e+01,-2.533308e+01,2.928814e-06,
1.499999e-01,-6.750114e-01,-3.469843e-01,6.511233e-01,-7.639746e+01,2.031317e+01,1.624943e-01,1.180532e+02,5.185445e+01,-2.532808e+01,2.932189e-06,
1.799999e-01,-6.757146e-01,-3.492766e-01,6.491654e-01,-7.633279e+01,2.023935e+01,1.621427e-01,1.182820e+02,5.183939e+01,-2.533190e+01,2.929613e-06,
2.099999e-01,-6.757469e-01,-3.482783e-01,6.496678e-01,-7.636677e+01,2.025828e+01,1.621265e-01,1.181952e+02,5.184781e+01,-2.533710e+01,2.926103e-06,
2.399999e-01,-6.749524e-01,-3.482249e-01,6.505218e-01,-7.635483e+01,2.029048e+01,1.625238e-01,1.181602e+02,5.184149e+01,-2.533574e+01,2.927025e-06,
2.699999e-01,-6.750074e-01,-3.481485e-01,6.505057e-01,-7.635834e+01,2.028987e+01,1.624963e-01,1.181555e+02,5.184153e+01,-2.533488e+01,2.927599e-06,
2.999998e-01,-6.752619e-01,-3.476066e-01,6.505314e-01,-7.638091e+01,2.029084e+01,1.623691e-01,1.181175e+02,5.185918e+01,-2.533773e+01,2.925679e-06,
3.299998e-01,-6.750801e-01,-3.472816e-01,6.508935e-01,-7.638867e+01,2.030450e+01,1.624600e-01,1.180820e+02,5.182456e+01,-2.533015e+01,2.930790e-06,
3.599998e-01,-6.758299e-01,-3.493189e-01,6.490225e-01,-7.633337e+01,2.023397e+01,1.620850e-01,1.182902e+02,5.185945e+01,-2.533337e+01,2.928623e-06,
3.899998e-01,-6.750139e-01,-3.484581e-01,6.503331e-01,-7.634808e+01,2.028336e+01,1.624930e-01,1.181831e+02,5.184367e+01,-2.533639e+01,2.926582e-06,
4.199998e-01,-6.750922e-01,-3.483254e-01,6.503230e-01,-7.635387e+01,2.028298e+01,1.624539e-01,1.181744e+02,5.184307e+01,-2.533857e+01,2.925115e-06,
4.499998e-01,-6.750017e-01,-3.471214e-01,6.510603e-01,-7.639269e+01,2.031079e+01,1.624992e-01,1.180649e+02,5.185259e+01,-2.533478e+01,2.927667e-06,
4.799997e-01,-6.753099e-01,-3.483294e-01,6.500947e-01,-7.635751e+01,2.027437e+01,1.623450e-01,1.181830e+02,5.183032e+01,-2.533209e+01,2.929482e-06,
5.099997e-01,-6.758108e-01,-3.486919e-01,6.493794e-01,-7.635402e+01,2.024742e+01,1.620946e-01,1.182341e+02,5.186248e+01,-2.533517e+01,2.927407e-06,
5.399997e-01,-6.750314e-01,-3.481627e-01,6.504732e-01,-7.635828e+01,2.028864e+01,1.624843e-01,1.181577e+02,5.183685e+01,-2.533570e+01,2.927047e-06,
5.699997e-01,-6.750111e-01,-3.475228e-01,6.508363e-01,-7.637939e+01,2.030234e+01,1.624944e-01,1.181006e+02,5.183223e+01,-2.533408e+01,2.928138e-06,
5.999997e-01,-6.754269e-01,-3.479373e-01,6.501832e-01,-7.637267e+01,2.027771e+01,1.622866e-01,1.181529e+02,5.186155e+01,-2.533711e+01,2.926100e-06,
6.299997e-01,-6.752653e-01,-3.481734e-01,6.502246e-01,-7.636196e+01,2.027927e+01,1.623673e-01,1.181676e+02,5.182888e+01,-2.533426e+01,2.928022e-06,
6.599996e-01,-6.757055e-01,-3.473882e-01,6.501873e-01,-7.639588e+01,2.027786e+01,1.621473e-01,1.181151e+02,5.184671e+01,-2.533880e+01,2.924960e-06,
6.899996e-01,-6.751313e-01,-3.486797e-01,6.500925e-01,-7.634268e+01,2.027429e+01,1.624344e-01,1.182071e+02,5.184752e+01,-2.533332e+01,2.928657e-06,
7.199996e-01,-6.750386e-01,-3.477851e-01,6.506676e-01,-7.637106e+01,2.029598e+01,1.624807e-01,1.181247e+02,5.182851e+01,-2.533563e+01,2.927094e-06,
7.499996e-01,-6.752887e-01,-3.471597e-01,6.507421e-01,-7.639636e+01,2.029879e+01,1.623556e-01,1.180792e+02,5.185091e+01,-2.533352e+01,2.928516e-06,
7.799996e-01,-6.752176e-01,-3.484616e-01,6.501198e-01,-7.635148e+01,2.027532e+01,1.623912e-01,1.181911e+02,5.183088e+01,-2.533187e+01,2.929631e-06,
8.099996e-01,-6.757814e-01,-3.481928e-01,6.496778e-01,-7.637022e+01,2.025866e+01,1.621093e-01,1.181889e+02,5.184134e+01,-2.533660e+01,2.926442e-06,
8.399996e-01,-6.750066e-01,-3.480883e-01,6.505387e-01,-7.636034e+01,2.029112e+01,1.624967e-01,1.181502e+02,5.183668e+01,-2.533310e+01,2.928803e-06,
8.699995e-01,-6.750657e-01,-3.484060e-01,6.503072e-01,-7.635072e+01,2.028238e+01,1.624671e-01,1.181805e+02,5.183444e+01,-2.533406e+01,2.928154e-06,
8.999995e-01,-6.753209e-01,-3.476020e-01,6.504726e-01,-7.638208e+01,2.028862e+01,1.623396e-01,1.181193e+02,5.185003e+01,-2.533675e+01,2.926344e-06,
9.299995e-01,-6.752377e-01,-3.481531e-01,6.502642e-01,-7.636217e+01,2.028076e+01,1.623812e-01,1.181647e+02,5.184958e+01,-2.533619e+01,2.926719e-06,
9.599995e-01,-6.754814e-01,-3.476805e-01,6.502639e-01,-7.638222e+01,2.028075e+01,1.622593e-01,1.181323e+02,5.183735e+01,-2.533241e+01,2.929269e-06,
9.899995e-01,-6.750919e-01,-3.485430e-01,6.502067e-01,-7.634658e+01,2.027859e+01,1.624540e-01,1.181935e+02,5.184896e+01,-2.533067e+01,2.930444e-06,
